route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
2,2022_09_12-SU-MVS-Sunday-56,1310789,San Francisco / Antioch,0,,1309623_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346166,San Francisco / Antioch,0,,1311440_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1310821,San Francisco Int'l Airport / Millbrae,1,,1309544_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1346111,San Francisco Int'l Airport / Millbrae,1,,1311375_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1310788,San Francisco / Antioch,0,,1309623_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346108,San Francisco / Antioch,0,,1311440_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1310820,San Francisco Int'l Airport / Millbrae,1,,1309544_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1346104,San Francisco Int'l Airport / Millbrae,1,,1311375_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1310787,San Francisco / Antioch,0,,1309623_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346102,San Francisco / Antioch,0,,1311440_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1310819,San Francisco Int'l Airport / Millbrae,1,,1309544_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1346164,San Francisco Int'l Airport / Millbrae,1,,1311375_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1310818,San Francisco / Antioch,0,,1309623_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346161,San Francisco / Antioch,0,,1311440_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1310852,San Francisco International Airport,1,,1309522_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1346168,San Francisco International Airport,1,,1311375_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346257,Antioch,0,,1311440_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310853,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310900,Millbrae / SF / Richmond,0,,1185318_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310876,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310899,Millbrae / SF / Richmond,0,,1185318_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310875,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310898,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310874,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310897,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310873,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310896,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310872,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310895,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310871,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310894,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310870,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310893,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310869,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310892,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310868,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310891,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310867,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310890,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310866,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310889,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310865,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310888,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310864,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310887,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310863,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310886,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310862,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310885,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310861,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310884,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310860,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310883,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310859,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310882,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
7,2022_09_12-SU-MVS-Sunday-56,1310858,SF / Millbrae / SFO Airport,1,,1185208_shp,,1,1
8,2022_09_12-SU-MVS-Sunday-56,1310881,Millbrae / SF / Richmond,0,,1185321_shp,,1,1
